Model,MAE,RMSE,r2,R
LSTM-1h-4T,5.242262202181,7.610098978676766,0.45585313811652284,0.7827206917415966
LightGBM-1h-4T,5.134014025352877,7.433905074862427,0.47308664889114127,0.793334020453074
LSTM-TSLightGBM-1h-4T,5.277699551503266,7.637580199554545,0.4632199664200962,0.7825079153543645
,,,,
LSTM-1h-8T,5.023275677542503,7.4226586381000645,0.3954963592383345,0.7544468744144456
LightGBM-1h-8T,4.829913232343279,7.058018317202937,0.42563359516667576,0.7775093576460804
LSTM-TSLightGBM-1h-8T,5.06375441226095,7.458347786854827,0.4031593831578347,0.7530463920618571
,,,,
LSTM-1h-10T,4.739427524709557,6.864826868607742,0.3736442281668385,0.7709709244516117
LightGBM-1h-10T,4.614841534442661,6.767075161374971,0.3959967464314428,0.7766490239299108
LSTM-TSLightGBM-1h-10T,4.868858625482309,7.319912486724852,0.373108106267076,0.7396653684919281
,,,,
LSTM-1h-12T,4.693524964132337,6.74954277266436,0.31179855503366083,0.7573225832664161
LightGBM-1h-12T,4.620614294283367,6.735287770733576,0.35640204001127673,0.7602635340794492
LSTM-TSLightGBM-1h-12T,4.934576366984871,7.358762180668051,0.3548640582487469,0.721822314571997
,,,,
LSTM-1h-16T,4.623534083642341,6.847109976509792,0.1813587573175559,0.7023886098361494
LightGBM-1h-16T,4.496914412601369,6.660430650736327,0.19615011289244322,0.7208518869318947
LSTM-TSLightGBM-1h-16T,4.780762518527701,7.1184846125347745,0.17977551677814907,0.6856966054284629
,,,,
LSTM-1h-18T,4.562037354138629,6.755211368921022,0.1834956555124696,0.7091057961412015
LightGBM-1h-18T,4.4105102830575555,6.554261646525135,0.2131055250765923,0.7288888799058802
LSTM-TSLightGBM-1h-18T,4.780915044752674,7.021775611357846,0.20709806325114788,0.6930223343885212
,,,,
LSTM-1h-24T,4.5473785966498665,6.720556951891966,0.10128019409733369,0.6828942685714322
LightGBM-1h-24T,4.391771676414078,6.579785791145952,0.10618178638716191,0.6945342012614101
LSTM-TSLightGBM-1h-24T,4.699077174822999,7.084916520293459,0.0934131127725697,0.6486904128574396
,,,,
LSTM-1h-32T,4.537867326209114,6.7122895614193405,-0.014410640888930848,0.6664317915131305
LightGBM-1h-32T,4.236712220250535,6.323270363130597,0.06178484027669284,0.6991520180598823
LSTM-TSLightGBM-1h-32T,4.33321617324799,6.513498426550388,0.10783289091642989,0.6780339894197949
,,,,
LSTM-2h-4T,6.155382110049852,8.707560819528108,0.18595842028760934,0.69883037405208
LightGBM-2h-4T,5.838583261835782,8.217910576381541,0.2482946039918167,0.7341498046209703
LSTM-TSLightGBM-2h-4T,6.021020977652953,8.48849192487165,0.2636499650250871,0.7186168719566586
,,,,
LSTM-2h-8T,5.4660002113662,7.913554151527796,0.17674421547045005,0.7024346585270925
LightGBM-2h-8T,5.304945214156911,7.646632528569472,0.19784165646091134,0.72315780055645
LSTM-TSLightGBM-2h-8T,5.580012446563561,8.136499460554822,0.18753781772900058,0.6886232531202259
,,,,
LSTM-2h-10T,5.278018179435348,7.58871967618676,0.14568098851554367,0.700099257070261
LightGBM-2h-10T,5.195553954231125,7.457434435525944,0.1606986996413391,0.7135339949561064
LSTM-TSLightGBM-2h-10T,5.566775254479358,8.079102930823627,0.14684694276589483,0.6692929491093877
,,,,
